BHSRX,8.5996,-5.9824,3.40113
CNGEX,2.68326,-5.37854,3.39832
OSMCX,13.5526,1.11307,3.38425
FSJHX,-1.7476,-5.39153,3.37581
VIG,-3.01043,-1.98917,3.37213
MUI,3.807,7.08293,3.36088
BIREX,0.423319,5.28157,3.35683
VDADX,-2.99847,-1.97492,3.35139
VITPX,-0.66242,-3.11202,3.34931
FZALX,-2.36951,-4.57913,3.34869
VIGIX,2.3265,-1.6521,3.34608
VTI,-0.695753,-3.09955,3.34559
FDGCX,-2.71114,-4.20743,3.34544
VITNX,-0.687398,-3.12242,3.34493
VIGAX,2.31723,-1.65754,3.34419
VDAIX,-3.07102,-2.03099,3.34336
VITSX,-0.727927,-3.15049,3.34286
FFSIX,-4.84402,-5.98089,3.34077
BCBDX,0.987632,-1.02173,3.33981
OREIX,-0.240348,5.5212,3.33007
VUG,2.30895,-1.63565,3.32637
RNGBX,2.26693,-5.573,3.32093
ANFBX,2.27732,-5.56295,3.31974
FTRIX,-2.5158,-4.65767,3.31938
OEQYX,-0.94631,-4.13935,3.31809
SHSCX,8.17001,-6.15057,3.3174
VTSAX,-0.735813,-3.15682,3.31628
MCLVX,-3.41546,-3.8689,3.3094
RNGAX,2.25007,-5.57601,3.30936
ANFCX,2.22158,-5.56305,3.30872
VTSMX,-0.828108,-3.2136,3.30775
FAFDX,-5.12677,-6.11382,3.30641
VIGRX,2.17162,-1.70972,3.30598
FADBX,-2.7907,-4.2786,3.29604
CNGCX,2.16325,-5.59702,3.29541
VOOV,-4.69771,-4.7215,3.29532
SHSPX,8.1074,-6.15366,3.29318
CNGBX,2.15952,-5.61319,3.28967
FLACX,-2.22387,-5.62408,3.2537
MBLVX,-3.50795,-3.95717,3.25325
BAREX,0.167722,5.08505,3.23638
FGTAX,-2.80853,-4.79084,3.23555
FHRLX,-2.2936,-5.64446,3.23474
OREYX,-0.43596,5.40575,3.23413
FTGRX,-2.94995,-4.87,3.22681
VSPVX,-4.56812,-4.64675,3.20676
FAFSX,-5.39656,-6.27091,3.20374
OEQAX,-1.13507,-4.25494,3.19915
OREAX,-0.659453,5.27377,3.19587
FAFBX,-5.83457,-6.43626,3.19046
ORENX,-0.882819,5.18735,3.17564
OEQNX,-1.39107,-4.35356,3.17417
BTZ,1.1526,0.88989,3.17139
TROW,-13.5075,-7.63565,3.15801
PAAOX,-2.28451,-10.5204,3.15512
TRAOX,-2.08709,-10.411,3.14941
FAFCX,-5.77974,-6.4484,3.13299
BCREX,-0.502402,4.77829,3.12411
RPGIX,-2.26032,-6.9233,3.10777
FGRCX,-3.42278,-5.06664,3.10462
PRASX,-6.25114,-9.23431,3.09865
FGRBX,-3.47491,-5.10206,3.08693
TREMX,-9.34934,-11.5396,3.08321
ORECX,-1.38948,4.92355,3.05611
OEQBX,-1.8926,-4.59074,3.04515
OEQCX,-1.89092,-4.58706,3.04283
RAMHX,1.02072,0.0724869,3.0375
OREBX,-1.38626,4.91908,3.03271
MUH,3.40516,9.65474,3.03261
VTHR,-0.689698,-3.36124,3.01214
RMFFX,-3.88064,-3.51816,2.97598
PRNHX,4.14214,-3.42781,2.96218
RMFGX,-3.86235,-3.52065,2.95961
AMRFX,-3.94629,-3.57912,2.95852
CMLFX,-3.997,-3.6065,2.91476
AMRMX,-4.11276,-3.63472,2.91335
PREFX,5.03015,-1.87064,2.90735
RMFEX,-4.16116,-3.67723,2.90181
CMLAX,-4.1875,-3.66499,2.89072
VAW,-12.2495,-12.1762,2.88941
VMIAX,-12.0317,-12.192,2.88879
OMSOX,-2.14843,-4.53387,2.88843
FMALX,-3.28049,-5.90234,2.87672
AMFFX,-4.17043,-3.68862,2.87405
IRPSX,-8.27927,-7.3806,2.86822
ITEIX,-8.09082,-7.24607,2.866
OIGIX,3.24717,-4.50322,2.86368
BATEX,5.56883,5.73136,2.85512
OMSYX,-1.94824,-4.48943,2.85367
FINSX,1.85918,-2.86633,2.84315
RMEBX,-4.47656,-3.8618,2.84303
CMLEX,-4.43539,-3.79584,2.83925
MFT,5.92386,7.98723,2.83682
RMFCX,-4.4491,-3.81697,2.83029
MYN,7.66728,5.10699,2.82993
FZANX,1.95497,-2.84012,2.82391
OIGYX,3.05846,-4.57855,2.82249
ITETX,-8.41306,-7.39353,2.82132
OMSNX,-2.39179,-4.67676,2.8047
FNIAX,1.59497,-2.98872,2.78973
OIGAX,2.8101,-4.6675,2.78078
VHGEX,-0.777066,-5.19398,2.7712
AMFBX,-4.77953,-3.95999,2.77063
ITEAX,-8.64217,-7.50658,2.76025
RMFAX,-4.86143,-3.99655,2.74441
AMFCX,-4.82134,-3.99006,2.73985
RLBGX,0.894825,-0.139872,2.7393
BZM,5.87234,2.84385,2.73879
BZM,5.87234,2.84385,2.73879
MFL,5.6663,6.80836,2.73578
CMLCX,-4.89609,-4.00998,2.73189
PRSGX,-0.433966,-5.16942,2.72269
RMFBX,-4.83505,-4.01645,2.72113
FNITX,1.33381,-3.12202,2.71264
CMLBX,-4.90508,-4.02718,2.71045
AMBFX,0.817499,-0.164895,2.69855
OMSCX,-2.87727,-4.88883,2.69169
PRFDX,-8.19328,-7.40113,2.69051
OIGNX,2.54088,-4.80318,2.68979
OGLIX,3.67179,-6.74698,2.6842
FGIOX,-3.68012,-6.06058,2.66318
OMOBX,-2.90671,-4.88608,2.65915
VONV,-5.51118,-5.20403,2.65018
VINEX,7.39136,-3.8853,2.64893
RGGFX,0,-5.21797,2.64664
RGGGX,0,-5.21108,2.64286
OGLYX,3.47823,-6.84015,2.64012
MYD,4.23113,7.01951,2.63576
PAFDX,-8.41729,-7.51143,2.6254
VDEQX,-0.371054,-4.58987,2.61147
FGIRX,-3.91479,-6.18822,2.60664
IGRWX,2.08396,-5.01384,2.60324
VIOG,2.97749,-4.74949,2.60209
REBGX,-0.210526,-5.32623,2.5974
VUVLX,-2.59469,-3.9058,2.59637
PGGFX,-0.280308,-5.32269,2.59553
BHL,5.106,-0.991156,2.59412
FNIBX,0.812863,-3.33284,2.59391
OPPAX,3.24269,-6.94049,2.59345
IGMIX,3.27751,-7.12916,2.59067
CGGFX,-0.209937,-5.31208,2.58993
OIGCX,2.06244,-5.0264,2.58522
PGWFX,-0.0699301,-5.23873,2.58435
TRSSX,-3.60558,-6.80502,2.58258
FNICX,0.847769,-3.3428,2.57169
FGITX,-4.13644,-6.26324,2.5698
RRFDX,-8.67055,-7.62206,2.56325
IOGPX,2.90568,-7.26552,2.55941
IGMSX,3.07908,-7.18817,2.55801
RICGX,-2.53064,-3.97075,2.55672
FAIVX,-4.11093,-5.16594,2.54363
RICFX,-2.60449,-3.99716,2.54196
MUE,5.08074,7.80995,2.54071
VSGNX,3.15201,-4.68483,2.54066
OTCFX,-3.66607,-6.7102,2.53778
OGLNX,2.98514,-7.04148,2.53733
ICAFX,-2.63556,-4.02578,2.52864
CPGAX,-0.350631,-5.39281,2.52525
RGGEX,-0.350385,-5.38922,2.52343
PGGAX,-0.280308,-5.32269,2.52161
CICFX,-2.69399,-4.03749,2.51793
AIVSX,-2.80601,-4.08301,2.51175
IGMAX,2.79408,-7.3427,2.50896
RGWGX,0.933956,-5.2005,2.50678
RGWFX,0.864937,-5.19074,2.50169
RIEBX,-2.82509,-2.77901,2.49321
AICFX,-2.86666,-4.13562,2.49198
BLJ,2.12571,7.34672,2.49195
BLJ,2.12571,7.34672,2.49195
FGISX,-4.64728,-6.49304,2.47502
RICEX,-2.87206,-4.12294,2.46907
FAVAX,-4.34707,-5.35644,2.46692
RGLCX,-0.632911,-5.48495,2.46555
CGGEX,-0.632467,-5.48128,2.46377
OYAIX,-0.660939,-5.53111,2.45399
CICAX,-2.9204,-4.14983,2.45289
FGIUX,-4.59146,-6.48642,2.45209
FCWRX,-12.0859,-17.2227,2.45053
CGPFX,0.735294,-5.2797,2.44731
PASSX,-3.95099,-6.84736,2.44291
GWPEX,0.801068,-5.26976,2.44233
MACPX,0.0544127,-0.73081,2.44216
OGLCX,2.50341,-7.26194,2.43101
FAVTX,-4.57565,-5.40647,2.42855
RFITX,-0.236407,-3.87244,2.42718
TACWX,-12.2304,-17.3053,2.42547
REITX,-0.314218,-3.86364,2.42131
OGLBX,2.4942,-7.27031,2.42085
VEVFX,-3.34093,-7.49542,2.41692
RICCX,-3.15582,-4.25564,2.41679
RGGBX,-1.06082,-5.66419,2.41581
